dataset,attr_method,metric,model,itr_no,comp,suff
traffic,wtsr,mae,SegRNN,3,13.991,16.323
traffic,wtsr,mae,iTransformer,1,10.68,21.384
traffic,wtsr,mae,iTransformer,2,10.747,21.288
traffic,wtsr,mae,iTransformer,3,10.826,21.223
mimic_iii,feature_ablation,auc,DLinear,1,0.339,0.441
mimic_iii,feature_ablation,auc,DLinear,2,0.303,0.454
mimic_iii,feature_ablation,auc,DLinear,3,0.539,0.643
mimic_iii,feature_ablation,auc,MICN,1,0.359,0.351
mimic_iii,feature_ablation,auc,MICN,2,0.495,0.56
mimic_iii,feature_ablation,auc,MICN,3,0.643,0.702
mimic_iii,feature_ablation,auc,SegRNN,1,0.449,0.73
mimic_iii,feature_ablation,auc,SegRNN,2,0.41,0.571
mimic_iii,feature_ablation,auc,SegRNN,3,0.611,0.809
mimic_iii,feature_ablation,auc,iTransformer,1,0.506,0.464
mimic_iii,feature_ablation,auc,iTransformer,2,0.63,0.595
mimic_iii,feature_ablation,auc,iTransformer,3,0.496,0.481
mimic_iii,augmented_occlusion,auc,DLinear,1,0.401,0.47
mimic_iii,augmented_occlusion,auc,DLinear,2,0.348,0.452
mimic_iii,augmented_occlusion,auc,DLinear,3,0.652,0.728
mimic_iii,augmented_occlusion,auc,MICN,1,0.4,0.39
mimic_iii,augmented_occlusion,auc,MICN,2,0.487,0.529
mimic_iii,augmented_occlusion,auc,MICN,3,0.734,0.793
mimic_iii,augmented_occlusion,auc,SegRNN,1,0.509,0.754
mimic_iii,augmented_occlusion,auc,SegRNN,2,0.448,0.6
mimic_iii,augmented_occlusion,auc,SegRNN,3,0.702,0.843
mimic_iii,augmented_occlusion,auc,iTransformer,1,0.537,0.488
mimic_iii,augmented_occlusion,auc,iTransformer,2,0.676,0.589
mimic_iii,augmented_occlusion,auc,iTransformer,3,0.52,0.478
mimic_iii,feature_permutation,auc,DLinear,1,0.349,0.273
mimic_iii,feature_permutation,auc,DLinear,2,0.342,0.288
mimic_iii,feature_permutation,auc,DLinear,3,0.654,0.506
mimic_iii,feature_permutation,auc,MICN,1,0.41,0.335
mimic_iii,feature_permutation,auc,MICN,2,0.52,0.462
mimic_iii,feature_permutation,auc,MICN,3,0.685,0.595
mimic_iii,feature_permutation,auc,SegRNN,1,0.618,0.542
mimic_iii,feature_permutation,auc,SegRNN,2,0.642,0.56
mimic_iii,feature_permutation,auc,SegRNN,3,0.802,0.71
mimic_iii,feature_permutation,auc,iTransformer,1,0.485,0.361
mimic_iii,feature_permutation,auc,iTransformer,2,0.686,0.484
mimic_iii,feature_permutation,auc,iTransformer,3,0.557,0.452
mimic_iii,integrated_gradients,auc,DLinear,1,0.402,0.305
mimic_iii,integrated_gradients,auc,DLinear,2,0.368,0.297
mimic_iii,integrated_gradients,auc,DLinear,3,0.715,0.555
mimic_iii,integrated_gradients,auc,MICN,1,0.375,0.306
mimic_iii,integrated_gradients,auc,MICN,2,0.459,0.426
mimic_iii,integrated_gradients,auc,MICN,3,0.716,0.656
mimic_iii,integrated_gradients,auc,SegRNN,1,0.71,0.561
mimic_iii,integrated_gradients,auc,SegRNN,2,0.59,0.452
mimic_iii,integrated_gradients,auc,SegRNN,3,0.874,0.541
mimic_iii,integrated_gradients,auc,iTransformer,1,0.492,0.415
mimic_iii,integrated_gradients,auc,iTransformer,2,0.755,0.628
mimic_iii,integrated_gradients,auc,iTransformer,3,0.495,0.441
mimic_iii,gradient_shap,auc,DLinear,1,0.343,0.276
mimic_iii,gradient_shap,auc,DLinear,2,0.38,0.314
mimic_iii,gradient_shap,auc,DLinear,3,0.641,0.503
mimic_iii,gradient_shap,auc,MICN,1,0.39,0.314
mimic_iii,gradient_shap,auc,MICN,2,0.477,0.411
mimic_iii,gradient_shap,auc,MICN,3,0.674,0.568
mimic_iii,gradient_shap,auc,SegRNN,1,0.748,0.562
mimic_iii,gradient_shap,auc,SegRNN,2,0.665,0.509
mimic_iii,gradient_shap,auc,SegRNN,3,0.865,0.569
mimic_iii,gradient_shap,auc,iTransformer,1,0.513,0.385
mimic_iii,gradient_shap,auc,iTransformer,2,0.685,0.518
mimic_iii,gradient_shap,auc,iTransformer,3,0.571,0.444
mimic_iii,dyna_mask,auc,DLinear,1,0.416,0.342
mimic_iii,dyna_mask,auc,DLinear,2,0.45,0.405
mimic_iii,dyna_mask,auc,DLinear,3,0.691,0.587
mimic_iii,dyna_mask,auc,MICN,1,0.385,0.292
mimic_iii,dyna_mask,auc,MICN,2,0.557,0.394
mimic_iii,dyna_mask,auc,MICN,3,0.759,0.641
mimic_iii,dyna_mask,auc,SegRNN,1,0.735,0.512
mimic_iii,dyna_mask,auc,SegRNN,2,0.616,0.39
mimic_iii,dyna_mask,auc,SegRNN,3,0.822,0.489
mimic_iii,dyna_mask,auc,iTransformer,1,0.515,0.397
mimic_iii,dyna_mask,auc,iTransformer,2,0.715,0.563
mimic_iii,dyna_mask,auc,iTransformer,3,0.559,0.433
mimic_iii,winIT,auc,DLinear,1,0.403,0.402
mimic_iii,winIT,auc,DLinear,2,0.427,0.344
mimic_iii,winIT,auc,DLinear,3,0.68,0.661
mimic_iii,winIT,auc,MICN,1,0.402,0.379
mimic_iii,winIT,auc,MICN,2,0.484,0.485
mimic_iii,winIT,auc,MICN,3,0.768,0.824
mimic_iii,winIT,auc,SegRNN,1,0.525,0.686
mimic_iii,winIT,auc,SegRNN,2,0.391,0.543
